valor_original,valor_normalizado
Empresa Brasileira de Pesquisa Agropecuária (Embrapa),Empresa Brasileira de Pesquisa Agropecuária (Embrapa)
Empresa Paulista de Planejamento Metropolitano S/A (Emplasa),Empresa Paulista de Planejamento Metropolitano S/A (Emplasa)
Empresa Paulista de Planejamento Metropolitano SA (Emplasa),Empresa Paulista de Planejamento Metropolitano SA (Emplasa)
Empresa de Pesquisa Energética,Empresa de Pesquisa Energética
Empresa de Pesquisa Energética - EPE,Empresa de Pesquisa Energética - EPE
Empresa de Planejamento e Logística (EPL),Empresa de Planejamento e Logística (EPL)
European Strategy and Policy Analysis System (ESPAS),European Strategy and Policy Analysis System (ESPAS)
French General Secretariat for Investment,French General Secretariat for Investment
Fundação Dom Cabral,Fundação Dom Cabral
Fundação Getulio Vargas (FGV EBAPE - Centro de Estudos de Competitividade e Inovação - CECIN),Fundação Getulio Vargas (FGV EBAPE - Centro de Estudos de Competitividade e Inovação - CECIN)
Fundação Oswaldo Cruz (Fiocruz),Fundação Oswaldo Cruz (Fiocruz)
Fórum Nacional de Educação (FNE),Fórum Nacional de Educação (FNE)
Fórum de Entidades e Federações do Estado do Espírito Santo,Fórum de Entidades e Federações do Estado do Espírito Santo
GOI GOIAS – Secretaria de Gestão e Planejamento do Estado de Goiás,GOI GOIAS – Secretaria de Gestão e Planejamento do Estado de Goiás
GOVERNO DO ESTADO DA BAHIA,GOVERNO DO ESTADO DA BAHIA
Gherzi,Gherzi
Governo Federal do Brasil,Governo Federal do Brasil
Governo de Minas Gerais,Governo de Minas Gerais
Governo do Distrito Federal,Governo do Distrito Federal
Governo do Estado,Governo do Estado
Governo do Estado da Paraíba,Governo do Estado da Paraíba
Governo do Estado de Mato Grosso,Governo do Estado de Mato Grosso
Governo do Estado de Pernambuco,Governo do Estado de Pernambuco
Governo do Estado do Acre,Governo do Estado do Acre
Governo do Estado do Ceará,Governo do Estado do Ceará
Governo do Estado do Maranhão,Governo do Estado do Maranhão
Governo do Estado do Mato Grosso,Governo do Estado do Mato Grosso
Governo do Estado do Piauí,Governo do Estado do Piauí
Grupo Banco Mundial,Grupo Banco Mundial
Grupo Interministerial de Propriedade Intelectual (GIPI),Grupo Interministerial de Propriedade Intelectual (GIPI)
Grupo de Economia do Setor Público IE-UFRJ,Grupo de Economia do Setor Público IE-UFRJ
Grupo de Pesquisa e Estudos Prospectivos (NEP-UCB) da Universidade Católica de Brasília,Grupo de Pesquisa e Estudos Prospectivos (NEP-UCB) da Universidade Católica de Brasília
Instituto Brasileiro de Petróleo e Gás (IBP),Instituto Brasileiro de Petróleo e Gás (IBP)
Instituto Sagres,Instituto Sagres
Instituto de Pesquisa Econômica Aplicada (Ipea),Instituto de Pesquisa Econômica Aplicada (Ipea)
Instituto de Pesquisa Econômica Aplicada e Associação Nacional dos Servidores da Carreira de Planejamento e Orçamento,Instituto de Pesquisa Econômica Aplicada e Associação Nacional dos Servidores da Carreira de Planejamento e Orçamento
Instituto de Planejamento de Fortaleza (Iplanfor),Instituto de Planejamento de Fortaleza (Iplanfor)
MINISTÉRIO DA INTEGRAÇÃO NACIONAL,MINISTÉRIO DA INTEGRAÇÃO NACIONAL
Macrossetor Indústria da CUT,Macrossetor Indústria da CUT
Marsh McLennan,Marsh McLennan
McKinsey & Company,McKinsey & Company
Ministério da Agricultura e Pecuária (Mapa),Ministério da Agricultura e Pecuária (Mapa)
"Ministério da Agricultura, Pecuária e Abastecimento","Ministério da Agricultura, Pecuária e Abastecimento"
"Ministério da Ciência, Tecnologia e Inovação (MCTI)","Ministério da Ciência, Tecnologia e Inovação (MCTI)"
Ministério da Defesa,Ministério da Defesa
Ministério da Defesa do Brasil,Ministério da Defesa do Brasil
"Ministério da Indústria, Comércio Exterior e Serviços, Secretaria de Desenvolvimento Industrial, Inovação, Comércio e Serviços","Ministério da Indústria, Comércio Exterior e Serviços, Secretaria de Desenvolvimento Industrial, Inovação, Comércio e Serviços"
Ministério da Justiça e Segurança Pública,Ministério da Justiça e Segurança Pública
Ministério das Cidades / Secretaria Nacional de Habitação,Ministério das Cidades / Secretaria Nacional de Habitação
Ministério de Minas e Energia,Ministério de Minas e Energia
Ministério de Minas e Energia (MME),Ministério de Minas e Energia (MME)
Ministério de Minas e Energia (MME) e Empresa de Pesquisa Energética (EPE),Ministério de Minas e Energia (MME) e Empresa de Pesquisa Energética (EPE)
Ministério de Minas e Energia (MME); Empresa de Pesquisa Energética (EPE),Ministério de Minas e Energia (MME); Empresa de Pesquisa Energética (EPE)
Ministério do Desenvolvimento Regional,Ministério do Desenvolvimento Regional
Ministério do Desenvolvimento Regional (MDR),Ministério do Desenvolvimento Regional (MDR)
"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome","Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome"
"Ministério do Desenvolvimento, Indústria e Serviços (MDIC)","Ministério do Desenvolvimento, Indústria e Serviços (MDIC)"
Ministério do Meio Ambiente,Ministério do Meio Ambiente
Ministério do Meio Ambiente (MMA),Ministério do Meio Ambiente (MMA)
Ministério do Meio Ambiente e Mudança do Clima,Ministério do Meio Ambiente e Mudança do Clima
"Ministério do Meio Ambiente e Mudança do Clima, Ministério da Ciência, Tecnologia e Inovação, Casa Civil da Presidência da República","Ministério do Meio Ambiente e Mudança do Clima, Ministério da Ciência, Tecnologia e Inovação, Casa Civil da Presidência da República"
"Ministério dos Transportes, Portos e Aviação Civil","Ministério dos Transportes, Portos e Aviação Civil"
Movimento Agenda 227 – Prioridade Absoluta para Crianças e Adolescentes,Movimento Agenda 227 – Prioridade Absoluta para Crianças e Adolescentes
Movimento Brasil Competitivo,Movimento Brasil Competitivo
Movimento Sindical (Centrais Sindicais e DIEESE),Movimento Sindical (Centrais Sindicais e DIEESE)
National Intelligence Council,National Intelligence Council
,
OECD,OECD
Organisation for Economic Co-operation and Development,Organisation for Economic Co-operation and Development
Organisation for Economic Co-operation and Development (OECD),Organisation for Economic Co-operation and Development (OECD)
Plataforma de Infraestrutura em Logística de Transportes - PILT,Plataforma de Infraestrutura em Logística de Transportes - PILT
Prefeitura de Belo Horizonte,Prefeitura de Belo Horizonte
Programa das Nações Unidas para o Desenvolvimento (PNUD),Programa das Nações Unidas para o Desenvolvimento (PNUD)
PwC,PwC
República Federativa do Brasil e Programa das Nações Unidas para o Desenvolvimento (PNUD),República Federativa do Brasil e Programa das Nações Unidas para o Desenvolvimento (PNUD)
Rodrigo Starling,Rodrigo Starling
SEPLAN,SEPLAN
Secretaria da Casa Civil,Secretaria da Casa Civil
"Secretaria da Igualdade, Cidadania, Direitos Humanos e Assistência Social","Secretaria da Igualdade, Cidadania, Direitos Humanos e Assistência Social"
Secretaria de Estado de Planejamento e Administração (SEPLAD),Secretaria de Estado de Planejamento e Administração (SEPLAD)
Secretaria de Estado de Planejamento e Coordenação Geral,Secretaria de Estado de Planejamento e Coordenação Geral
Secretaria de Estado de Planejamento e Desenvolvimento Econômico (SEPLAN),Secretaria de Estado de Planejamento e Desenvolvimento Econômico (SEPLAN)
Secretaria de Estado de Planejamento e Gestão,Secretaria de Estado de Planejamento e Gestão
Secretaria de Estado de Planejamento e Gestão - SEPLAG/MG,Secretaria de Estado de Planejamento e Gestão - SEPLAG/MG
Secretaria de Estado de Planejamento e Gestão e Fundação João Pinheiro,Secretaria de Estado de Planejamento e Gestão e Fundação João Pinheiro
Secretaria de Estado do Planejamento (SEPLAN),Secretaria de Estado do Planejamento (SEPLAN)
Secretaria de Estado do Planejamento do Piauí (SEPLAN),Secretaria de Estado do Planejamento do Piauí (SEPLAN)
Secretaria de Estado do Planejamento – SEPLAN,Secretaria de Estado do Planejamento – SEPLAN
Secretaria de Estado do Planejamento/SEPLAN,Secretaria de Estado do Planejamento/SEPLAN
Secretaria de Planejamento e Orçamento do Estado do Tocantins,Secretaria de Planejamento e Orçamento do Estado do Tocantins
"Secretaria de Planejamento, Governança e Gestão do Rio Grande do Sul","Secretaria de Planejamento, Governança e Gestão do Rio Grande do Sul"
Secretaria de Recursos Hídricos do Ministério do Meio Ambiente,Secretaria de Recursos Hídricos do Ministério do Meio Ambiente
United Nations Development Programme (UNDP),United Nations Development Programme (UNDP)
United Nations General Assembly,United Nations General Assembly
"Universidade Federal Fluminense, Pró-Reitoria de Pesquisa, Pós-Graduação e Inovação","Universidade Federal Fluminense, Pró-Reitoria de Pesquisa, Pós-Graduação e Inovação"
