valor_original,valor_normalizado
Terceiro Setor,Terceiro Setor
"Trabalho, Emprego e Renda","Trabalho, Emprego e Renda"
Transportes e Logística,Transporte
Têxteis técnicos,Têxteis técnicos
"['Agropecuária', 'Etanol', 'Papel e celulose', 'Siderurgia', 'Exploração e produção de petróleo e gás natural offshore', 'Química', 'Bens de capital', 'Tecnologias da informação e da comunicação (TIC)', 'Aeroespacial']","['Agropecuária', 'Etanol', 'Papel e celulose', 'Siderurgia', 'Exploração e produção de petróleo e gás natural offshore', 'Química', 'Bens de capital', 'Tecnologias da informação e da comunicação (TIC)', 'Aeroespacial']"
"['Agropecuária', 'Mineração e Metalurgia', 'Alimentos', 'Bebidas', 'Papel e Celulose', 'Petróleo e Gás', 'Sucroenergético', 'Química', 'Indústria Farmacêutica', 'Tecnologia da Informação e Comunicação', 'Elétrico', 'Logística', 'Saneamento', 'Aeroespaço e Defesa']","['Agropecuária', 'Mineração e Metalurgia', 'Alimentos', 'Bebidas', 'Papel e Celulose', 'Petróleo e Gás', 'Sucroenergético', 'Química', 'Indústria Farmacêutica', 'Tecnologia da Informação e Comunicação', 'Elétrico', 'Logística', 'Saneamento', 'Aeroespaço e Defesa']"
"['Agropecuária, Floresta e Outros Usos do Solo (AFOLU)', 'Energia', 'Industrial', 'Transportes', 'Resíduos', 'Edificações']",Energia
"['Educação e Desenvolvimento Humano', 'Atenção em Saúde', 'Defesa e Segurança', 'Desenvolvimento Social e Proteção', 'Desenvolvimento Econômico Sustentável', 'Ciência, Tecnologia e Inovação', 'Desenvolvimento Rural', 'Identidade Mineira', 'Cidades', 'Infraestrutura', 'Governo Integrado, Eficiente e Eficaz']",Saúde
"['Energia', 'Florestas', 'Biomas', 'Agropecuária', 'Indústria', 'Resíduos', 'Transportes', 'Saúde']",Saúde
"['Public investment', 'Regional development', 'Infrastructure', 'Multi-level governance']",Infraestrutura
"['Segurança', 'Saúde', 'Infraestrutura', 'Crescimento Econômico', 'Educação', 'Formação Profissional', 'Petróleo', 'Gás', 'Energia', 'Meio Ambiente', 'Logística']",Saúde
"['economy', 'energy', 'automotive', 'aeronautics', 'space', 'industry', 'biopharmaceuticals', 'cultural and creative content production', 'training system', 'schools', 'higher education', 'digital technology', 'innovation', 'startups', 'research']",Educação
"Óleo e Gás, Energia, Transporte, Petroquímica",Energia
