id_tema,tema,macrotema,subtema
tem_54067cfcce9e0e2f,Cidades Inteligentes,"Ciência, Tecnologia e Inovação",Outros
tem_b112ea880595ae1b,IA e Virtualidade,"Ciência, Tecnologia e Inovação",Tecnologia
tem_de06ca0bf31035fc,Têxteis Técnicos,Outros / Não Classificado,Outros
tem_de6d78686c54a012,Não Tecidos,Outros / Não Classificado,Outros
tem_7c1e7163e0710c06,Diversificação Econômica,Economia e Trabalho,Outros
tem_ee8f5af3b2b6c5d9,Criação de Empregos,Economia e Trabalho,Tecnologia
tem_9b35e145e72ccd19,Desenvolvimento de Habilidades,Outros / Não Classificado,Outros
tem_8fc5abbffeecfebe,Avanço Tecnológico,"Ciência, Tecnologia e Inovação",Tecnologia
tem_8204e9f449cf6c26,Competitividade Global,Outros / Não Classificado,Outros
tem_44287c4660252182,Mercado de Têxteis Técnicos,Economia e Trabalho,Outros
tem_1d3d4206f448b4a8,Mercado de Não Tecidos,Economia e Trabalho,Outros
tem_55152dc2bf8f9f6b,Agrotech,Outros / Não Classificado,Outros
tem_2cfe92d5d465f55c,Meditech,Outros / Não Classificado,Outros
tem_4a5ea55a1a07b1d3,Buildtech,Outros / Não Classificado,Outros
tem_6e478ef75a2163de,Mobiltech,Outros / Não Classificado,Outros
tem_568bf1227dccf422,Clothtech,Outros / Não Classificado,Outros
tem_b52927c159947345,Oekotech,Outros / Não Classificado,Outros
tem_84c7d51e929f2253,Packtech,Outros / Não Classificado,Outros
tem_1ac92a1c4ea53bb5,Geotech,Outros / Não Classificado,Outros
tem_f022b573e1353ff6,Protech,Outros / Não Classificado,Outros
tem_f7eb0ce05e528a18,Hometech,Outros / Não Classificado,Outros
tem_0a750e1337962618,Sporttech,Outros / Não Classificado,Outros
tem_e13185afbcffcb47,Indutech,Outros / Não Classificado,Outros
tem_2325e58f489011e3,Fibras Sintéticas,Outros / Não Classificado,Outros
tem_075cae4c3d6c48bf,Fibras Naturais,Outros / Não Classificado,Outros
tem_85f2fe1173c90345,Fibras Celulósicas,Outros / Não Classificado,Outros
tem_5494cae6a556e6c3,Pesquisa e Desenvolvimento,Outros / Não Classificado,Outros
tem_3b05ce942d9ec7f0,Treinamento,Outros / Não Classificado,Outros
tem_255c9126c6d65540,Pesquisa,Outros / Não Classificado,Outros
tem_9f0575519ed8f8a6,Incentivo Fiscal,Outros / Não Classificado,Outros
tem_ca4b943af9b9cd25,Padrão Técnico,Outros / Não Classificado,Outros
tem_0b88497c981de3cd,Reciclagem,Outros / Não Classificado,Outros
tem_dcee808ab36c10c4,Biodegradabilidade,Outros / Não Classificado,Outros
tem_e7db77c9168af2e9,Desenvolvimento Sustentável,Outros / Não Classificado,Outros
tem_e482222c1fe102a4,Indicadores,Outros / Não Classificado,Outros
tem_b36bd186260af00f,Acompanhamento,Outros / Não Classificado,Outros
tem_93fbcbfa77d8114a,Empoderamento Feminino,Outros / Não Classificado,Outros
tem_576a03c1ac0a93f8,Água,Outros / Não Classificado,Outros
tem_5d3bdc402f593b14,Energia,Meio Ambiente e Clima,Energia
tem_1f50427ebebff25d,Trabalho Decente,Economia e Trabalho,Outros
tem_fce1428758de2825,Infraestrutura,Outros / Não Classificado,Outros
tem_2ffcd2fd51e9ebdf,Industrialização,Economia e Trabalho,Tecnologia
tem_7fef625dc34d1f3f,Desigualdade,Desenvolvimento Social,Pobreza e Desigualdade
tem_f8996557e9c1b4fe,Cidades Sustentáveis,Outros / Não Classificado,Outros
tem_b1307d96d3b3b25d,Assentamentos Humanos,Outros / Não Classificado,Outros
tem_fd7317fa3a1cd732,Produção e Consumo Sustentáveis,Outros / Não Classificado,Outros
tem_5cdb9a846e49698f,Florestas,Meio Ambiente e Clima,Biodiversidade e Ecossistemas
tem_c0e2b03911e90b07,Desertificação,Outros / Não Classificado,Outros
tem_d690edae857f16e5,Degradação da Terra,Outros / Não Classificado,Outros
tem_08bd2663bcccd1a1,Biodiversidade,Meio Ambiente e Clima,Biodiversidade e Ecossistemas
tem_c8ea7fcb79ca4642,Paz,Governança e Instituições,Outros
tem_ac5c5f516e052ec1,Justiça,Governança e Instituições,Outros
tem_bc50bd199faef889,Instituições Eficazes,Governança e Instituições,Governança
tem_81ffb81aac368c43,Economia,Economia e Trabalho,Tecnologia
tem_6602848131e264ae,Ganhos Sociais,"Ciência, Tecnologia e Inovação",Tecnologia
tem_e36e915861eb40a0,Meio Ambiente,Meio Ambiente e Clima,Outros
tem_970afc70800c0735,Segurança,Outros / Não Classificado,Outros
tem_85e64f52d15a39e3,Emprego e Renda,Economia e Trabalho,Outros
tem_37ffc7e71b49678c,Governança Colaborativa,Governança e Instituições,Governança
tem_4ad0591165649006,Cadeias Produtivas,Economia e Trabalho,Tecnologia
tem_83ce936cd10688cb,Cultura e Turismo,Outros / Não Classificado,Outros
tem_5325be8491481046,Capital Humano,Economia e Trabalho,Outros
tem_0d3bbfc4818fdbb4,Ambiente de Negócios e Inovação,Meio Ambiente e Clima,Outros
tem_17efdb99eec78f55,Serviços Públicos,Outros / Não Classificado,Outros
