instituicao_responsavel_original,instituicao_responsavel_normalizada,instituicoes_apoio_originais,instituicoes_apoio_normalizadas,arquivo_origem,id_documento_logico
,,"[""Entremeios—Articulação e Formação""]","[""Entremeios—Articulação e Formação""]",011.pdf,doc_4ad2cb27d384f284
Centro de Estudos e Debates Estratégicos,Centro de Estudos e Debates Estratégicos,"[""Departamento de Taquigrafia, Revisão e Redação""]","[""Departamento de Taquigrafia, Revisão e Redação""]",012.pdf,doc_afcb4f3426b9f49b
Fundação Getulio Vargas (FGV EBAPE - Centro de Estudos de Competitividade e Inovação - CECIN),Fundação Getulio Vargas (FGV EBAPE - Centro de Estudos de Competitividade e Inovação - CECIN),"[""Agência Brasileira de Desenvolvimento Industrial (ABDI)"", ""SAP Brasil"", ""Conselho Nacional de Proteção de Dados Pessoais (CNPD)"", ""Amazon Web Services (AWS)"", ""Fundação Brava"", ""Secretaria de Inovação, Desenvolvimento Rural e Irrigação - MAPA"", ""Oracle"", ""Microsoft"", ""Intel"", ""IBM"", ""Secretaria de Governo Digital - ME"", ""BrazilLab"", ""Organização para a Cooperação e Desenvolvimento Econômico (OCDE)"", ""Movimento Brasil Competitivo"", ""Casa Civil da Presidência da República"", ""Ministério da Ciência, Tecnologia e Inovações"", ""Ministério da Economia"", ""Gerdau"", ""Eletrobras"", ""Grupo FarmaBrasil"", ""Biolab"", ""Google"", ""Motorola"", ""Mover"", ""Qualcomm""]","[""Agência Brasileira de Desenvolvimento Industrial (ABDI)"", ""SAP Brasil"", ""Conselho Nacional de Proteção de Dados Pessoais (CNPD)"", ""Amazon Web Services (AWS)"", ""Fundação Brava"", ""Secretaria de Inovação, Desenvolvimento Rural e Irrigação - MAPA"", ""Oracle"", ""Microsoft"", ""Intel"", ""IBM"", ""Secretaria de Governo Digital - ME"", ""BrazilLab"", ""Organização para a Cooperação e Desenvolvimento Econômico (OCDE)"", ""Movimento Brasil Competitivo"", ""Casa Civil da Presidência da República"", ""Ministério da Ciência, Tecnologia e Inovações"", ""Ministério da Economia"", ""Gerdau"", ""Eletrobras"", ""Grupo FarmaBrasil"", ""Biolab"", ""Google"", ""Motorola"", ""Mover"", ""Qualcomm""]",013.pdf,doc_eff1ad92fc91d5e5
Instituto Brasileiro de Petróleo e Gás (IBP),Instituto Brasileiro de Petróleo e Gás (IBP),[],[],014.pdf,doc_48341ed5825e8fd2
Governo do Estado do Ceará,Governo do Estado do Ceará,[],[],015.pdf,doc_ee8d5a4d00a557b4
Banco Nacional de Desenvolvimento Econômico e Social (BNDES),Banco Nacional de Desenvolvimento Econômico e Social (BNDES),"[""Universidade Federal da Bahia (UFB)"", ""Confederação Nacional da Indústria (CNI)"", ""Serviço Nacional de Aprendizagem Industrial (Senai)"", ""Fundação de Economia e Estatística (FEE/RS)""]","[""Universidade Federal da Bahia (UFB)"", ""Confederação Nacional da Indústria (CNI)"", ""Serviço Nacional de Aprendizagem Industrial (Senai)"", ""Fundação de Economia e Estatística (FEE/RS)""]",016.pdf,doc_047f5a151709c0e8
Organisation for Economic Co-operation and Development (OECD),Organisation for Economic Co-operation and Development (OECD),"[""Committee for Agriculture (COAG)"", ""Fisheries Committee (COFI)"", ""Employment, Labour and Social Affairs Committee (ELSAC)"", ""Economic Policy Committee (EPC)"", ""Environment Policy Committee (EPOC)"", ""Health Committee (HC)"", ""Investment Committee (IC)"", ""Public Governance Committee (PGC)"", ""Regional Development Policy Committee (RDPC)"", ""Net Zero+ Committee Leadership Group"", ""Centre for Entrepreneurship, SMEs, Regions and Cities"", ""Economics Department"", ""Directorate for Employment, Labour and Social Affairs"", ""Environment Directorate"", ""Public Governance"", ""Trade and Agriculture Directorate""]","[""Committee for Agriculture (COAG)"", ""Fisheries Committee (COFI)"", ""Employment, Labour and Social Affairs Committee (ELSAC)"", ""Economic Policy Committee (EPC)"", ""Environment Policy Committee (EPOC)"", ""Health Committee (HC)"", ""Investment Committee (IC)"", ""Public Governance Committee (PGC)"", ""Regional Development Policy Committee (RDPC)"", ""Net Zero+ Committee Leadership Group"", ""Centre for Entrepreneurship, SMEs, Regions and Cities"", ""Economics Department"", ""Directorate for Employment, Labour and Social Affairs"", ""Environment Directorate"", ""Public Governance"", ""Trade and Agriculture Directorate""]",017.pdf,doc_a8ea156901b34a5b
CDP Latin America,CDP Latin America,[],[],018.pdf,doc_ec63bad9ddd83521
Agência Nacional de Águas e Saneamento Básico (ANA),Agência Nacional de Águas e Saneamento Básico (ANA),"[""Secretaria Nacional de Segurança Hídrica - MDR"", ""Secretaria Nacional de Saneamento - MDR"", ""Secretaria Nacional de Irrigação - MDR"", ""Instituto Brasileiro de Geografia e Estatística - IBGE"", ""Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis – IBAMA"", ""Instituto Nacional de Meteorologia – INMET"", ""Departamento Nacional de Obras Contra as Secas – DNOCS"", ""Agência Nacional de Energia Elétrica - ANEEL"", ""Companhia de Pesquisa de Recursos Minerais - CPRM"", ""Sema/AC"", ""Sema/AP"", ""IMAP/AP"", ""Sema/AM"", ""Ipaam/AM"", ""Semarh/AL"", ""IMA/AL"", ""Inema/BA"", ""SRH/CE"", ""Cogerh/CE"", ""Adasa/DF"", ""Caesb/DF"", ""AGERH/ES"", ""Iema/ES"", ""SEMAD/GO"", ""Sema/MA"", ""Sema/MT"", ""Imasul/MS"", ""Igam/MG"", ""Semas/PA"", ""Aesa/PB"", ""Sudema/PB"", ""SRHE/PE"", ""CPRH/PE"", ""APAC/PE"", ""Sema/PR"", ""IAT/PR"", ""Semar/PI"", ""Inea/RJ"", ""Semarh/RN"", ""IGARN/RN"", ""Sema/RS"", ""Fepam/RS"", ""Sedam/RO"", ""Femarh/RR"", ""SDE/SC"", ""SIMA/SP"", ""Cetesb/SP"", ""DAEE/SP"", ""SEDURBS/SE"", ""Naturatins/TO"", ""BRKAmbiental/TO"", ""SEMARH/TO""]","[""Secretaria Nacional de Segurança Hídrica - MDR"", ""Secretaria Nacional de Saneamento - MDR"", ""Secretaria Nacional de Irrigação - MDR"", ""Instituto Brasileiro de Geografia e Estatística - IBGE"", ""Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis – IBAMA"", ""Instituto Nacional de Meteorologia – INMET"", ""Departamento Nacional de Obras Contra as Secas – DNOCS"", ""Agência Nacional de Energia Elétrica - ANEEL"", ""Companhia de Pesquisa de Recursos Minerais - CPRM"", ""Sema/AC"", ""Sema/AP"", ""IMAP/AP"", ""Sema/AM"", ""Ipaam/AM"", ""Semarh/AL"", ""IMA/AL"", ""Inema/BA"", ""SRH/CE"", ""Cogerh/CE"", ""Adasa/DF"", ""Caesb/DF"", ""AGERH/ES"", ""Iema/ES"", ""SEMAD/GO"", ""Sema/MA"", ""Sema/MT"", ""Imasul/MS"", ""Igam/MG"", ""Semas/PA"", ""Aesa/PB"", ""Sudema/PB"", ""SRHE/PE"", ""CPRH/PE"", ""APAC/PE"", ""Sema/PR"", ""IAT/PR"", ""Semar/PI"", ""Inea/RJ"", ""Semarh/RN"", ""IGARN/RN"", ""Sema/RS"", ""Fepam/RS"", ""Sedam/RO"", ""Femarh/RR"", ""SDE/SC"", ""SIMA/SP"", ""Cetesb/SP"", ""DAEE/SP"", ""SEDURBS/SE"", ""Naturatins/TO"", ""BRKAmbiental/TO"", ""SEMARH/TO""]",019.pdf,doc_513d04faa5e21448
"Universidade Federal Fluminense, Pró-Reitoria de Pesquisa, Pós-Graduação e Inovação","Universidade Federal Fluminense, Pró-Reitoria de Pesquisa, Pós-Graduação e Inovação","[""Ministério das Cidades"", ""Secretaria Nacional de Habitação""]","[""Ministério das Cidades"", ""Secretaria Nacional de Habitação""]",020.pdf,doc_50dcf43b51bafb62
Secretaria de Recursos Hídricos do Ministério do Meio Ambiente,Secretaria de Recursos Hídricos do Ministério do Meio Ambiente,"[""Agência Nacional de Águas (ANA)"", ""Organização das Nações Unidas para a Educação, Ciência e a Cultura (UNESCO)"", ""Organização dos Estados Americanos (OEA)""]","[""Agência Nacional de Águas (ANA)"", ""Organização das Nações Unidas para a Educação, Ciência e a Cultura (UNESCO)"", ""Organização dos Estados Americanos (OEA)""]",021.pdf,doc_1d3aee27583371ed
Banco Interamericano de Desenvolvimento,Banco Interamericano de Desenvolvimento,[],[],022.pdf,doc_2e1453ae118bc760
Programa das Nações Unidas para o Desenvolvimento (PNUD),Programa das Nações Unidas para o Desenvolvimento (PNUD),"[""Conselho Científico Internacional (ISC)"", ""Sistema Europeu de Análise de Estratégias e Políticas"", ""Comissão Europeia (DG Parcerias Internacionais)"", ""Changeist"", ""Smithery"", ""scenarioDNA inc."", ""Escola Superior de Propaganda e Marketing do Brasil""]","[""Conselho Científico Internacional (ISC)"", ""Sistema Europeu de Análise de Estratégias e Políticas"", ""Comissão Europeia (DG Parcerias Internacionais)"", ""Changeist"", ""Smithery"", ""scenarioDNA inc."", ""Escola Superior de Propaganda e Marketing do Brasil""]",023.pdf,doc_ce5aa45e8158fcd4
United Nations General Assembly,United Nations General Assembly,[],[],024.pdf,doc_33f9f00fe918952b
Centro de Estudos Político-Estratégicos da Marinha (CEPE-MB),Centro de Estudos Político-Estratégicos da Marinha (CEPE-MB),[],[],025.pdf,doc_0caeb7161581d9e5
Fórum de Entidades e Federações do Estado do Espírito Santo,Fórum de Entidades e Federações do Estado do Espírito Santo,"[""Secretaria de Estado de Economia e Planejamento (SEP)"", ""Instituto Jones dos Santos Neves"", ""Fórum das Entidades e Federações (FEF)"", ""Espírito Santo em Ação"", ""Petrobras"", ""DVF Consultoria""]","[""Secretaria de Estado de Economia e Planejamento (SEP)"", ""Instituto Jones dos Santos Neves"", ""Fórum das Entidades e Federações (FEF)"", ""Espírito Santo em Ação"", ""Petrobras"", ""DVF Consultoria""]",026.pdf,doc_3df6bf43d9ef69fc
Governo Federal do Brasil,Governo Federal do Brasil,"[""Casa Civil da Presidência da República"", ""Ministério da Economia"", ""Instituto de Pesquisa Econômica Aplicada (Ipea)"", ""Ministérios setoriais""]","[""Casa Civil da Presidência da República"", ""Ministério da Economia"", ""Instituto de Pesquisa Econômica Aplicada (Ipea)"", ""Ministérios setoriais""]",027.pdf,doc_104106c0966db412
,,[],[],028.pdf,doc_1c16336d699329c9
"BMA – Barbosa, Müssnich & Aragão","BMA – Barbosa, Müssnich & Aragão","[""MoveInfra – Associação de Investidores em Infraestrutura Multissetorial""]","[""MoveInfra – Associação de Investidores em Infraestrutura Multissetorial""]",029.pdf,doc_bbc1d60b2a0acd32
