metodo_original,metodo_normalizado,arquivo_origem,id_documento_logico
Método das Componentes Demográficas,Método das Componentes Demográficas,020.pdf,doc_50dcf43b51bafb62
Método da Relação de Coortes,Método da Relação de Coortes,020.pdf,doc_50dcf43b51bafb62
Modelos idade-período-coorte (IPC),Modelos idade-período-coorte (IPC),020.pdf,doc_50dcf43b51bafb62
Multiplicadores de renda e emprego (Leontief),Multiplicadores de renda e emprego (Leontief),020.pdf,doc_50dcf43b51bafb62
Modelo econométrico de tipologia de unidades habitacionais,Modelo econométrico de tipologia de unidades habitacionais,020.pdf,doc_50dcf43b51bafb62
Modelo econométrico de número de dormitórios,Modelo econométrico de número de dormitórios,020.pdf,doc_50dcf43b51bafb62
Cenários,Cenários,021.pdf,doc_1d3aee27583371ed
Exploração de Sinais,Exploração de Sinais,023.pdf,doc_ce5aa45e8158fcd4
Reconhecimento de Padrões,Reconhecimento de Padrões,023.pdf,doc_ce5aa45e8158fcd4
Consultas com especialistas,Consultas com especialistas,023.pdf,doc_ce5aa45e8158fcd4
Criação de sentido (sensemaking),Criação de sentido (sensemaking),023.pdf,doc_ce5aa45e8158fcd4
Strategic foresight,Strategic foresight,024.pdf,doc_33f9f00fe918952b
Anticipatory risk analyses,Anticipatory risk analyses,024.pdf,doc_33f9f00fe918952b
Anticipatory planning,Anticipatory planning,024.pdf,doc_33f9f00fe918952b
Futures literacy,Futures literacy,024.pdf,doc_33f9f00fe918952b
Análise de Cenários,Análise de Cenários,025.pdf,doc_0caeb7161581d9e5
Análise SWOT,Análise SWOT,025.pdf,doc_0caeb7161581d9e5
Projeção,Projeção,025.pdf,doc_0caeb7161581d9e5
Oficinas Regionais e Temáticas,Oficinas Regionais e Temáticas,026.pdf,doc_3df6bf43d9ef69fc
Planejamento de Cenários,Planejamento de Cenários,026.pdf,doc_3df6bf43d9ef69fc
Cenários,Cenários,027.pdf,doc_104106c0966db412
Entrevistas com partes interessadas,Entrevistas com partes interessadas,029.pdf,doc_bbc1d60b2a0acd32
Leitura crítica de iniciativas empresariais e governamentais,Leitura crítica de iniciativas empresariais e governamentais,029.pdf,doc_bbc1d60b2a0acd32
Análise de políticas públicas,Análise de políticas públicas,029.pdf,doc_bbc1d60b2a0acd32
Análise de mecanismos regulatórios,Análise de mecanismos regulatórios,029.pdf,doc_bbc1d60b2a0acd32
Análise de estruturas de financiamento,Análise de estruturas de financiamento,029.pdf,doc_bbc1d60b2a0acd32
Construção de Cenários,Construção de Cenários,030.pdf,doc_8e264afeb0637ad8
Cenarização,Cenarização,031.pdf,doc_978ee2b3dfb00ea9
Exercício macroeconômico prospectivo,Exercício macroeconômico prospectivo,032.pdf,doc_eae6078d7101d10d
Exercício de planejamento,Exercício de planejamento,032.pdf,doc_eae6078d7101d10d
Horizon-scanning,Horizon-scanning,034.pdf,doc_779f0464baab41f0
Participatory Foresight Process,Participatory Foresight Process,034.pdf,doc_779f0464baab41f0
Scenario Planning,Scenario Planning,035.pdf,doc_d523ef1661749be1
Trends Analysis,Trends Analysis,035.pdf,doc_d523ef1661749be1
Consultations,Consultations,035.pdf,doc_d523ef1661749be1
Data Collection,Data Collection,035.pdf,doc_d523ef1661749be1
Técnicas e Processos de Foresight,Técnicas e Processos de Foresight,036.pdf,doc_0881f891c17efa0d
Exercício de Horizon-Scanning,Exercício de Horizon-Scanning,036.pdf,doc_0881f891c17efa0d
Strategic foresight,Strategic foresight,037.pdf,doc_87c2f944565dc6ef
Revisão de Literatura,Revisão de Literatura,038.pdf,doc_5be1150dd3b0c6ef
Articulação de projeções da dinâmica populacional com cenários da dinâmica macroeconômica,Articulação de projeções da dinâmica populacional com cenários da dinâmica macroeconômica,039.pdf,doc_2b8ee33b52573eab
Projeções da dinâmica populacional,Projeções da dinâmica populacional,039.pdf,doc_2b8ee33b52573eab
Cenários da dinâmica macroeconômica,Cenários da dinâmica macroeconômica,039.pdf,doc_2b8ee33b52573eab
Construção de Cenários,Construção de Cenários,040.pdf,doc_f25a9a5e52e6b275
Previsões de Demanda,Previsões de Demanda,040.pdf,doc_f25a9a5e52e6b275
Reuniões e Oficinas Temáticas,Reuniões e Oficinas Temáticas,040.pdf,doc_f25a9a5e52e6b275
Modelagem,Modelagem,041.pdf,doc_249f09c79e7fb979
Modelos de Avaliação Integrada (IAMs),Monitoramento e avaliação,041.pdf,doc_249f09c79e7fb979
Modelo BLUES (Brazilian Land-Use and Energy Systems model),Modelo BLUES (Brazilian Land-Use and Energy Systems model),041.pdf,doc_249f09c79e7fb979
Modelo COFFEE (Computable integrated Framework For Energy and the Environment),Modelo COFFEE (Computable integrated Framework For Energy and the Environment),041.pdf,doc_249f09c79e7fb979
Modelo TEA (Total-Economy integrated Assessment Model),Modelo TEA (Total-Economy integrated Assessment Model),041.pdf,doc_249f09c79e7fb979
Modelos satélites,Modelos satélites,041.pdf,doc_249f09c79e7fb979
Simulação de Cenários,Simulação de Cenários,042.pdf,doc_bb3e79800311defd
Cenários alternativos,Cenários alternativos,043.pdf,doc_7f65fd044074a298
Cenários,Cenários,044.pdf,doc_87497e04c084d6b3
Delphi,Delphi,044.pdf,doc_87497e04c084d6b3
Impactos Cruzados,Impactos Cruzados,044.pdf,doc_87497e04c084d6b3
prospectiva estratégica,prospectiva estratégica,045.pdf,doc_e0c1740150eab95a
construção de cenários prospectivos,construção de cenários prospectivos,045.pdf,doc_e0c1740150eab95a
Estudos de diagnóstico,Estudos de diagnóstico,048.pdf,doc_94ab85f86f3b1651
Estudos de cenários,Estudos de cenários,048.pdf,doc_94ab85f86f3b1651
Pesquisa qualitativa,Pesquisa qualitativa,048.pdf,doc_94ab85f86f3b1651
Construção de Visão de Futuro,Construção de Visão de Futuro,048.pdf,doc_94ab85f86f3b1651
Elaboração participativa,Elaboração participativa,048.pdf,doc_94ab85f86f3b1651
Análise de tendências,Análise de tendências,048.pdf,doc_94ab85f86f3b1651
Identificação de ativos e passivos estratégicos,Identificação de ativos e passivos estratégicos,048.pdf,doc_94ab85f86f3b1651
Identificação de oportunidades,Identificação de oportunidades,048.pdf,doc_94ab85f86f3b1651
Análise de cenários,Análise de cenários,049.pdf,doc_d4afc8219b4e57c3
Projeções de demanda,Projeções de demanda,049.pdf,doc_d4afc8219b4e57c3
Modelagem econométrica,Modelagem econométrica,049.pdf,doc_d4afc8219b4e57c3
Big data da telefonia móvel,Big data da telefonia móvel,049.pdf,doc_d4afc8219b4e57c3
Visão prospectiva,Visão prospectiva,050.pdf,doc_65126f737250b846
Cenários,Cenários,050.pdf,doc_65126f737250b846
Modelagem Climática,Modelagem Climática,052.pdf,doc_d86685b51c9f0492
Cenários baseados em narrativas socioeconômicas,Cenários baseados em narrativas socioeconômicas,052.pdf,doc_d86685b51c9f0492
Modelos de predição,Modelos de predição,052.pdf,doc_d86685b51c9f0492
Modelos de simulação,Modelos de simulação,052.pdf,doc_d86685b51c9f0492
Modelagem de agentes,Modelagem de agentes,052.pdf,doc_d86685b51c9f0492
Entrevistas,Entrevistas,053.pdf,doc_107ffeac5fc91248
Análise Documental,Análise Documental,053.pdf,doc_107ffeac5fc91248
Análise de Dados Secundários,Análise de Dados Secundários,053.pdf,doc_107ffeac5fc91248
Projeção do PIB,Projeção do PIB,053.pdf,doc_107ffeac5fc91248
Cenários Prospectivos,Cenários Prospectivos,053.pdf,doc_107ffeac5fc91248
Prospecção Estratégica,Prospecção Estratégica,054.pdf,doc_543497aae7e2ed2e
Projeções,Projeções,054.pdf,doc_543497aae7e2ed2e
Planejamento Estratégico Situacional (PES),Planejamento Estratégico Situacional (PES),055.pdf,doc_21284b658826eef4
Escuta popular,Escuta popular,055.pdf,doc_21284b658826eef4
Modelo de Decisão de Investimentos (MDI),Modelo de Decisão de Investimentos (MDI),057.pdf,doc_6eb7ceae17e09267
Metodologia das restrições operativas,Metodologia das restrições operativas,057.pdf,doc_6eb7ceae17e09267
Cenários alternativos,Cenários alternativos,057.pdf,doc_6eb7ceae17e09267
Análise de Sensibilidade,Análise de Sensibilidade,057.pdf,doc_6eb7ceae17e09267
Simulações para a Malha Integrada,Simulações para a Malha Integrada,057.pdf,doc_6eb7ceae17e09267
Previsão da Produção,Previsão da Produção,057.pdf,doc_6eb7ceae17e09267
Projeções de demanda,Projeções de demanda,057.pdf,doc_6eb7ceae17e09267
Cenários,Cenários,060.pdf,doc_b1aa507527e75c3c
Projeções,Projeções,060.pdf,doc_b1aa507527e75c3c
Modelagem,Modelagem,060.pdf,doc_b1aa507527e75c3c
Análises de sensibilidade,Análises de sensibilidade,060.pdf,doc_b1aa507527e75c3c
Previsão,Previsão,060.pdf,doc_b1aa507527e75c3c
Identificação de megatendências,Identificação de megatendências,061.pdf,doc_770bac0fd41a8219
Identificação de incertezas críticas,Identificação de incertezas críticas,061.pdf,doc_770bac0fd41a8219
Estudos temáticos,Estudos temáticos,061.pdf,doc_770bac0fd41a8219
Estudos prospectivos,Estudos prospectivos,061.pdf,doc_770bac0fd41a8219
Construção de cenários,Construção de cenários,061.pdf,doc_770bac0fd41a8219
Análise SWOT,Análise SWOT,061.pdf,doc_770bac0fd41a8219
Antecipação de riscos,Antecipação de riscos,061.pdf,doc_770bac0fd41a8219
Gestão de incertezas,Gestão de incertezas,061.pdf,doc_770bac0fd41a8219
Construção de cenários,Construção de cenários,062.pdf,doc_d491d58a55fd7ca7
Mapeamento de macrotendências globais,Mapeamento de macrotendências globais,062.pdf,doc_d491d58a55fd7ca7
Cenários,Cenários,063.pdf,doc_802bcf589341f34f
Consultas,Consultas,063.pdf,doc_802bcf589341f34f
Planejamento Estratégico Situacional (PES),Planejamento Estratégico Situacional (PES),066.pdf,doc_55e923e31d17a26d
Cenários Macroeconômicos,Cenários Macroeconômicos,067.pdf,doc_89cacd2527cbd1ae
Modelo GLOBIOM-Brasil,Modelo GLOBIOM-Brasil,067.pdf,doc_89cacd2527cbd1ae
Modelo de Equilíbrio Geral Computável,Modelo de Equilíbrio Geral Computável,067.pdf,doc_89cacd2527cbd1ae
Análise Custo-Benefício,Análise Custo-Benefício,067.pdf,doc_89cacd2527cbd1ae
Conferências Nacionais,Conferências Nacionais,069.pdf,doc_582f154548ded28e
Debate Social,Debate Social,069.pdf,doc_582f154548ded28e
Participação Social,Participação Social,069.pdf,doc_582f154548ded28e
Plataforma Brasil Participativo,Plataforma Brasil Participativo,069.pdf,doc_582f154548ded28e
Plenárias,Plenárias,069.pdf,doc_582f154548ded28e
Cenários,Cenários,070.pdf,doc_b8bf77aab34b01ca
Modelagem,Modelagem,070.pdf,doc_b8bf77aab34b01ca
Workshops,Workshops,070.pdf,doc_b8bf77aab34b01ca
Prospecção tecnológica,Prospecção tecnológica,070.pdf,doc_b8bf77aab34b01ca
Análise de Cenários,Análise de Cenários,072.pdf,doc_5d326c5048087c71
Projeção de Matrizes Origem-Destino,Projeção de Matrizes Origem-Destino,073.pdf,doc_a449a8c0e390208b
Simulação de Rede de Transportes,Simulação de Rede de Transportes,073.pdf,doc_a449a8c0e390208b
Análise de Cenários,Análise de Cenários,073.pdf,doc_a449a8c0e390208b
Modelagem de Transportes,Modelagem de Transportes,073.pdf,doc_a449a8c0e390208b
Avaliação Comparativa de Cenários,Monitoramento e avaliação,073.pdf,doc_a449a8c0e390208b
Construção de Cenários,Construção de Cenários,074.pdf,doc_1470ecda11ba1606
análise ex ante,análise ex ante,078.pdf,doc_1d05a87563e033ea
modelos lógicos de políticas públicas,modelos lógicos de políticas públicas,078.pdf,doc_1d05a87563e033ea
Oficina de Modelos Lógicos,Oficina de Modelos Lógicos,078.pdf,doc_1d05a87563e033ea
Árvore de Problemas,Árvore de Problemas,078.pdf,doc_1d05a87563e033ea
Processo Participativo,Processo Participativo,079.pdf,doc_345088727156af38
Grupos de Trabalho,Grupos de Trabalho,079.pdf,doc_345088727156af38
Consulta a Especialistas,Consulta a Especialistas,079.pdf,doc_345088727156af38
Consulta a Gestores,Consulta a Gestores,079.pdf,doc_345088727156af38
Consulta a Crianças e Adolescentes,Consulta a Crianças e Adolescentes,079.pdf,doc_345088727156af38
ARIMA,ARIMA,082.pdf,doc_218d50ccb304b42b
Função spline,Função spline,082.pdf,doc_218d50ccb304b42b
Método direto,Método direto,082.pdf,doc_218d50ccb304b42b
Cenários Prospectivos,Cenários Prospectivos,084.pdf,doc_dd7089b1f658d2f8
Consulta a Especialistas,Consulta a Especialistas,084.pdf,doc_dd7089b1f658d2f8
Consulta Áugures,Consulta Áugures,084.pdf,doc_dd7089b1f658d2f8
Ferramentas Integradas de Gestão Estratégica (FIGE),Ferramentas Integradas de Gestão Estratégica (FIGE),084.pdf,doc_dd7089b1f658d2f8
Modelagem econômica,Modelagem econômica,085.pdf,doc_65bc86a6d8f4f9f3
Projeções,Projeções,086.pdf,doc_8fd8aff8761cdd9f
Cenários,Cenários,086.pdf,doc_8fd8aff8761cdd9f
Signals scanning,Signals scanning,088.pdf,doc_4b1665532f036257
Expert consultation,Expert consultation,088.pdf,doc_4b1665532f036257
Sensemaking,Sensemaking,088.pdf,doc_4b1665532f036257
Strategy Lab,Strategy Lab,088.pdf,doc_4b1665532f036257
Análise paramétrica,Análise paramétrica,091.pdf,doc_d095d72cb74c4ef1
Modelagem,Modelagem,091.pdf,doc_d095d72cb74c4ef1
Otimização,Otimização,091.pdf,doc_d095d72cb74c4ef1
Análise de cenários,Análise de cenários,091.pdf,doc_d095d72cb74c4ef1
Modelagem econômica de longo prazo,Modelagem econômica de longo prazo,092.pdf,doc_ac3752b3549fdfe5
Entrevistas,Entrevistas,092.pdf,doc_ac3752b3549fdfe5
Análise de estudo de caso,Análise de estudo de caso,092.pdf,doc_ac3752b3549fdfe5
Comentários de especialistas,Comentários de especialistas,092.pdf,doc_ac3752b3549fdfe5
Análises documentais,Análises documentais,093.pdf,doc_addf948f204e36a6
Entrevistas,Entrevistas,093.pdf,doc_addf948f204e36a6
Oficinas,Oficinas,093.pdf,doc_addf948f204e36a6
Análises,Análises,094.pdf,doc_8a67f77fbd2c4af3
Seminários,Seminários,094.pdf,doc_8a67f77fbd2c4af3
Painéis com especialistas,Painéis com especialistas,094.pdf,doc_8a67f77fbd2c4af3
Oficinas técnicas,Oficinas técnicas,094.pdf,doc_8a67f77fbd2c4af3
Diálogos sobre a Biodiversidade,Diálogos sobre a Biodiversidade,095.pdf,doc_0d2a44e6ace0dd00
Elaboração de Subsídios Multissetoriais,Elaboração de Subsídios Multissetoriais,095.pdf,doc_0d2a44e6ace0dd00
Painel Brasileiro de Biodiversidade (PainelBio),Painel Brasileiro de Biodiversidade (PainelBio),095.pdf,doc_0d2a44e6ace0dd00
Monitoramento,Monitoramento e avaliação,095.pdf,doc_0d2a44e6ace0dd00
Pesquisas de opinião,Pesquisas de opinião,095.pdf,doc_0d2a44e6ace0dd00
Planejamento Sistemático da Conservação (PSC),Planejamento Sistemático da Conservação (PSC),095.pdf,doc_0d2a44e6ace0dd00
Fóruns de Diálogo,Fóruns de Diálogo,096.pdf,doc_200e98591da22406
Construção Coletiva,Construção Coletiva,097.pdf,doc_8e9f8dfbe288faca
Seminários Temáticos,Seminários Temáticos,097.pdf,doc_8e9f8dfbe288faca
Webinares,Webinares,097.pdf,doc_8e9f8dfbe288faca
Questões Norteadoras,Questões Norteadoras,097.pdf,doc_8e9f8dfbe288faca
Grupos Focais,Grupos focais,097.pdf,doc_8e9f8dfbe288faca
Sistematização de Estudos de Análise Futura e Macrotendências,Sistematização de Estudos de Análise Futura e Macrotendências,097.pdf,doc_8e9f8dfbe288faca
Metodologia Three Horizons (H3Uni),Metodologia Three Horizons (H3Uni),097.pdf,doc_8e9f8dfbe288faca
Workshops,Workshops,099.pdf,doc_c1a3812919bc1a86
Estudo de casos nacionais e internacionais,Estudo de casos nacionais e internacionais,099.pdf,doc_c1a3812919bc1a86
Planejamento Participativo,Planejamento Participativo,100.pdf,doc_9d07aa4c67cee0e9
Diagnóstico Estadual,Diagnóstico Estadual,100.pdf,doc_9d07aa4c67cee0e9
"Análise de Indicadores (ODS, PPA)",Análise de indicadores,100.pdf,doc_9d07aa4c67cee0e9
Construção de Visão de Futuro,Construção de Visão de Futuro,100.pdf,doc_9d07aa4c67cee0e9
Definição de Metas,Definição de Metas,100.pdf,doc_9d07aa4c67cee0e9
Elaboração de Índice de Desenvolvimento Territorial (IDT),Elaboração de Índice de Desenvolvimento Territorial (IDT),100.pdf,doc_9d07aa4c67cee0e9
Prognóstico,Prognóstico,100.pdf,doc_9d07aa4c67cee0e9
Processo de participação de especialistas e atores-chaves,Processo de participação de especialistas e atores-chaves,102.pdf,doc_29eec8cb7458c0ed
Teoria da Mudança,Teoria da Mudança,102.pdf,doc_29eec8cb7458c0ed
Megatendências,Megatendências,103.pdf,doc_28835709fa751d8b
Construção de cenários,Construção de cenários,103.pdf,doc_28835709fa751d8b
Visões de futuro,Visões de futuro,103.pdf,doc_28835709fa751d8b
Seminários,Seminários,104.pdf,doc_7282532e36c67ef7
Oficinas,Oficinas,104.pdf,doc_7282532e36c67ef7
Debates,Debates,104.pdf,doc_7282532e36c67ef7
Análise Documental,Análise Documental,104.pdf,doc_7282532e36c67ef7
Cenários,Cenários,106.pdf,doc_87ca1b686c49b2d4
Modelagem em Excel,Modelagem em Excel,107.pdf,doc_51a69bae251c4d81
Entrevistas com especialistas,Entrevistas com especialistas,107.pdf,doc_51a69bae251c4d81
Modelos de Avaliação Integrada (IAMs),Monitoramento e avaliação,107.pdf,doc_51a69bae251c4d81
Brazilian Land-Use and Energy Systems (BLUES),Brazilian Land-Use and Energy Systems (BLUES),107.pdf,doc_51a69bae251c4d81
Simulação,Simulação,108.pdf,doc_24c126028c12f8d8
Alocação por equilíbrio estocástico,Alocação por equilíbrio estocástico,108.pdf,doc_24c126028c12f8d8
Cenário,Cenário,110.pdf,doc_3f34d8804e58d74d
Projeção,Projeção,110.pdf,doc_3f34d8804e58d74d
Projeção populacional,Projeção populacional,112.pdf,doc_256037f6af1c55cf
Cenários,Cenários,112.pdf,doc_256037f6af1c55cf
Cenários,Cenários,113.pdf,doc_4e41b20aa5c9d75d
Cartas do Futuro,Cartas do Futuro,113.pdf,doc_4e41b20aa5c9d75d
Grupos de Trabalho,Grupos de Trabalho,113.pdf,doc_4e41b20aa5c9d75d
Pesquisa Qualitativa,Pesquisa Qualitativa,113.pdf,doc_4e41b20aa5c9d75d
Estudos Aprofundados (Policy Papers),Estudos Aprofundados (Policy Papers),113.pdf,doc_4e41b20aa5c9d75d
Cenários Prospectivos,Cenários Prospectivos,114.pdf,doc_18277649010fa600
Escutas Sociais,Escutas Sociais,114.pdf,doc_18277649010fa600
Encontros Regionalizados Temáticos,Encontros Regionalizados Temáticos,114.pdf,doc_18277649010fa600
Cenários,Cenários,117.pdf,doc_230d58c428799bb7
Seminários Regionais,Seminários Regionais,118.pdf,doc_0aa337fd3de039dc
Discussões Públicas,Discussões Públicas,118.pdf,doc_0aa337fd3de039dc
Hierarquização de projetos,Hierarquização de projetos,118.pdf,doc_0aa337fd3de039dc
Sequenciamento de projetos,Sequenciamento de projetos,118.pdf,doc_0aa337fd3de039dc
Precificação de projetos,Precificação de projetos,118.pdf,doc_0aa337fd3de039dc
Projeções de financiamento,Projeções de financiamento,118.pdf,doc_0aa337fd3de039dc
Hierarquização de projetos,Hierarquização de projetos,119.pdf,doc_230de4d5108dfecb
Sequenciamento de projetos,Sequenciamento de projetos,119.pdf,doc_230de4d5108dfecb
Precificação de projetos,Precificação de projetos,119.pdf,doc_230de4d5108dfecb
Acompanhamento e avaliação de projetos,Monitoramento e avaliação,119.pdf,doc_230de4d5108dfecb
Seminários regionais,Seminários regionais,119.pdf,doc_230de4d5108dfecb
Discussões com órgãos governamentais,Discussões com órgãos governamentais,119.pdf,doc_230de4d5108dfecb
Discussões com instituições financeiras,Discussões com instituições financeiras,119.pdf,doc_230de4d5108dfecb
Cenários,Cenários,120.pdf,doc_1d4e875970f6486b
Projeções Atuariais,Projeções Atuariais,120.pdf,doc_1d4e875970f6486b
Mínimos Quadrados Ordinários (MQO),Mínimos Quadrados Ordinários (MQO),120.pdf,doc_1d4e875970f6486b
Cenários,Cenários,121.pdf,doc_1459edf6cae895a7
Entrevistas,Entrevistas,121.pdf,doc_1459edf6cae895a7
Elaboração de Cenários,Elaboração de Cenários,122.pdf,doc_656f22c42109b411
Análise de Forças Motrizes,Análise de Forças Motrizes,122.pdf,doc_656f22c42109b411
Análise de Fatores Críticos,Análise de Fatores Críticos,122.pdf,doc_656f22c42109b411
FIGE — Ferramentas Integradas de Gestão Estratégica,FIGE — Ferramentas Integradas de Gestão Estratégica,123.pdf,doc_798976ba95a07847
Prospectiva Estratégica,Prospectiva Estratégica,123.pdf,doc_798976ba95a07847
Cenários futuros,Cenários futuros,123.pdf,doc_798976ba95a07847
Consulta Áugures,Consulta Áugures,123.pdf,doc_798976ba95a07847
Teoria dos Jogos,Teoria dos Jogos,123.pdf,doc_798976ba95a07847
Planejamento por Cenários,Planejamento por Cenários,123.pdf,doc_798976ba95a07847
Inteligência Estratégica,Inteligência Estratégica,123.pdf,doc_798976ba95a07847
Balanced Scorecard,Balanced Scorecard,123.pdf,doc_798976ba95a07847
Dinâmicas Governantes,Dinâmicas Governantes,123.pdf,doc_798976ba95a07847
Cenários,Cenários,124.pdf,doc_145b79abcfa91a17
Projeção,Projeção,124.pdf,doc_145b79abcfa91a17
Modelagem,Modelagem,124.pdf,doc_145b79abcfa91a17
BLUES (Brazilian Land Use and Energy System),BLUES (Brazilian Land Use and Energy System),126.pdf,doc_a83622f2e4c771d5
IAM (Integrated Assessment Models),IAM (Integrated Assessment Models),126.pdf,doc_a83622f2e4c771d5
Identificação de Temas,Identificação de Temas,127.pdf,doc_968fcc15b369e525
Exploração de Horizontes (Sinais de Mudança),Exploração de Horizontes (Sinais de Mudança),127.pdf,doc_968fcc15b369e525
"Pesquisa TIPPOs (Tendências, Insights, Planos, Projeções e Obstáculos)","Pesquisa TIPPOs (Tendências, Insights, Planos, Projeções e Obstáculos)",127.pdf,doc_968fcc15b369e525
Entrevistas com Especialistas,Entrevistas com Especialistas,127.pdf,doc_968fcc15b369e525
Treinamento em Prospectiva (Futures Literacy),Treinamento em Prospectiva (Futures Literacy),127.pdf,doc_968fcc15b369e525
Oficinas de Interpretação de Sinais (Sensemaking),Oficinas de Interpretação de Sinais (Sensemaking),127.pdf,doc_968fcc15b369e525
Desenvolvimento de Cenários,Desenvolvimento de Cenários,127.pdf,doc_968fcc15b369e525
Questionários,Questionários,127.pdf,doc_968fcc15b369e525
Planejamento orientado por missões,Planejamento orientado por missões,128.pdf,doc_00bb4278a9f6d3d9
Inteligência estratégica,Inteligência estratégica,128.pdf,doc_00bb4278a9f6d3d9
"Conferência Nacional de Ciência, Tecnologia e Inovação","Conferência Nacional de Ciência, Tecnologia e Inovação",128.pdf,doc_00bb4278a9f6d3d9
Consulta pública nacional,Consulta pública nacional,128.pdf,doc_00bb4278a9f6d3d9
Diálogos dirigidos,Diálogos dirigidos,128.pdf,doc_00bb4278a9f6d3d9
Entrevistas,Entrevistas,130.pdf,doc_1fc1aa55b52a41de
Oficinas,Oficinas,130.pdf,doc_1fc1aa55b52a41de
Análise de Frequência de Respostas,Análise de Frequência de Respostas,130.pdf,doc_1fc1aa55b52a41de
Análise de Cenários,Análise de Cenários,131.pdf,doc_4159b04cccad632e
Construção de Cenários,Construção de Cenários,131.pdf,doc_4159b04cccad632e
Incertezas Críticas,Incertezas Críticas,131.pdf,doc_4159b04cccad632e
