campo,valor_original,valor_original_limpo,valor_normalizado,categoria,confianca,acao_recomendada,justificativa,aplicar_automaticamente,lote
instituicoes,Instituto Água e Saneamento - IAS,instituto agua e saneamento - ias,Instituto Água e Saneamento,Instituição,alta,aplicar automático,"Padronização do nome completo da instituição, removendo sigla redundante.",True,1
instituicoes,Instituto Costa Brasilis,instituto costa brasilis,Instituto Costa Brasilis,Instituição,alta,manter original,Nome já padronizado.,True,1
instituicoes,Instituto de Filosofia e Ciências Sociais - IFSC/ UFRJ,instituto de filosofia e ciencias sociais - ifsc/ ufrj,Instituto de Filosofia e Ciências Sociais (IFCS/UFRJ),Instituição,alta,aplicar automático,Padronização da sigla entre parênteses e remoção de espaço antes da barra.,True,1
instituicoes,Instituto de Pesca,instituto de pesca,Instituto de Pesca,Instituição,alta,manter original,Nome já padronizado.,True,1
instituicoes,Instituto Maramar,instituto maramar,Instituto Maramar,Instituição,alta,manter original,Nome já padronizado.,True,1
instituicoes,"Instituto Nacional de Ciências e Tecnologia em Políticas Públicas, Estratégias e Desenvolvimento - INCT/PPED - UFRJ","instituto nacional de ciencias e tecnologia em politicas publicas, estrategias e desenvolvimento - inct/pped - ufrj","Instituto Nacional de Ciências e Tecnologia em Políticas Públicas, Estratégias e Desenvolvimento (INCT/PPED/UFRJ)",Instituição,alta,aplicar automático,Padronização das siglas entre parênteses e remoção de espaços antes das barras.,True,1
instituicoes,Instituto Oceanográfico - IO/USP,instituto oceanografico - io/usp,Instituto Oceanográfico (IO/USP),Instituição,alta,aplicar automático,Padronização da sigla entre parênteses e remoção de espaço antes da barra.,True,1
instituicoes,Instituto Physis - Cultura & Ambiente,instituto physis - cultura & ambiente,Instituto Physis - Cultura & Ambiente,Instituição,alta,manter original,Nome já padronizado.,True,1
instituicoes,Instituto Pólis,instituto polis,Instituto Pólis,Instituição,alta,manter original,Nome já padronizado.,True,1
instituicoes,"Laboratório de Ecologia e Conservação Marinha, Instituto do Mar - UNIFESP","laboratorio de ecologia e conservacao marinha, instituto do mar - unifesp","Laboratório de Ecologia e Conservação Marinha, Instituto do Mar (UNIFESP)",Instituição,alta,aplicar automático,Padronização da sigla da universidade entre parênteses.,True,1
instituicoes,Movimento Nacional das Cidadãs Posithivas - MNCP,movimento nacional das cidadas posithivas - mncp,Movimento Nacional das Cidadãs Posithivas,Instituição,alta,aplicar automático,"Padronização do nome completo da instituição, removendo sigla redundante.",True,1
instituicoes,Observatório de Governança das Águas - OGA,observatorio de governanca das aguas - oga,Observatório de Governança das Águas,Instituição,alta,aplicar automático,"Padronização do nome completo da instituição, removendo sigla redundante.",True,1
instituicoes,Observatório Metropolitano ODS - METRODS,observatorio metropolitano ods - metrods,Observatório Metropolitano ODS,Instituição,alta,aplicar automático,"Padronização do nome completo da instituição, removendo sigla redundante.",True,1
instituicoes,Oceano à Vista,oceano a vista,Oceano à Vista,Instituição,alta,manter original,Nome já padronizado.,True,1
instituicoes,Ouvidoria do Mar,ouvidoria do mar,Ouvidoria do Mar,Instituição,alta,manter original,Nome já padronizado.,True,1
instituicoes,Oxfam Brasil,oxfam brasil,Oxfam Brasil,Instituição,alta,manter original,Nome já padronizado.,True,1
instituicoes,Parceria Brasileira contra a Tuberculose – Stop TB Brasil,parceria brasileira contra a tuberculose – stop tb brasil,Parceria Brasileira contra a Tuberculose – Stop TB Brasil,Instituição,alta,manter original,Nome já padronizado.,True,1
instituicoes,Plan Internacional Brasil,plan internacional brasil,Plan Internacional Brasil,Instituição,alta,manter original,Nome já padronizado.,True,1
instituicoes,Programa Cidades Sustentáveis,programa cidades sustentaveis,Programa Cidades Sustentáveis,Instituição,alta,manter original,Nome já padronizado.,True,1
instituicoes,Programa Interunidades de Pós-Graduação em Análise Ambiental Integrada - PPG-AAI/ UNIFESP,programa interunidades de pos-graduacao em analise ambiental integrada - ppg-aai/ unifesp,Programa Interunidades de Pós-Graduação em Análise Ambiental Integrada (PPG-AAI/UNIFESP),Instituição,alta,aplicar automático,Padronização das siglas entre parênteses e remoção de espaço antes da barra.,True,1
instituicoes,Rede Brasileira de População e Desenvolvimento - REBRAPD,rede brasileira de populacao e desenvolvimento - rebrapd,Rede Brasileira de População e Desenvolvimento,Instituição,alta,aplicar automático,"Padronização do nome completo da instituição, removendo sigla redundante.",True,1
instituicoes,Rede MAS - Mulheres Atuando pela Sustentabilidade,rede mas - mulheres atuando pela sustentabilidade,Rede MAS - Mulheres Atuando pela Sustentabilidade,Instituição,alta,manter original,Nome já padronizado.,True,1
instituicoes,Rede Nacional de Pessoas Vivendo com HIV e AIDS (RNP+ Brasil),rede nacional de pessoas vivendo com hiv e aids (rnp+ brasil),Rede Nacional de Pessoas Vivendo com HIV e AIDS,Instituição,alta,aplicar automático,"Padronização do nome completo da instituição, removendo sigla redundante.",True,1
instituicoes,The Nature Conservancy Brasil,the nature conservancy brasil,The Nature Conservancy Brasil,Instituição,alta,manter original,Nome já padronizado.,True,1
instituicoes,Transparência Internacional Brasil,transparencia internacional brasil,Transparência Internacional Brasil,Instituição,alta,manter original,Nome já padronizado.,True,1
instituicoes,UnB 2030/ UnB,unb 2030/ unb,UnB 2030 (UnB),Instituição,alta,aplicar automático,Padronização da sigla da universidade entre parênteses.,True,1
instituicoes,Universidade de Brasília - UNB,universidade de brasilia - unb,Universidade de Brasília (UnB),Instituição,alta,aplicar automático,Padronização da sigla da universidade entre parênteses e caixa.,True,1
instituicoes,Universidade de Pernambuco - UPE,universidade de pernambuco - upe,Universidade de Pernambuco (UPE),Instituição,alta,aplicar automático,Padronização da sigla da universidade entre parênteses.,True,1
instituicoes,Universidade do Estado do Rio de Janeiro - UERJ,universidade do estado do rio de janeiro - uerj,Universidade do Estado do Rio de Janeiro (UERJ),Instituição,alta,aplicar automático,Padronização da sigla da universidade entre parênteses.,True,1
instituicoes,Universidade do Vale do Itajaí - UNIVALI,universidade do vale do itajai - univali,Universidade do Vale do Itajaí (UNIVALI),Instituição,alta,aplicar automático,Padronização da sigla da universidade entre parênteses.,True,1
instituicoes,Universidade Estadual do Maranhão - UEMA,universidade estadual do maranhao - uema,Universidade Estadual do Maranhão (UEMA),Instituição,alta,aplicar automático,Padronização da sigla da universidade entre parênteses.,True,1
instituicoes,Universidade Federal da Grande Dourados - UFGD,universidade federal da grande dourados - ufgd,Universidade Federal da Grande Dourados (UFGD),Instituição,alta,aplicar automático,Padronização da sigla da universidade entre parênteses.,True,1
instituicoes,Universidade Federal de São Paulo - UNIFESP,universidade federal de sao paulo - unifesp,Universidade Federal de São Paulo (UNIFESP),Instituição,alta,aplicar automático,Padronização da sigla da universidade entre parênteses.,True,1
instituicoes,University College Cork/MaREI,university college cork/marei,University College Cork (MaREI),Instituição,alta,aplicar automático,Padronização da sigla do centro de pesquisa entre parênteses.,True,1
instituicoes,Visão Mundial,visao mundial,Visão Mundial,Instituição,alta,manter original,Nome já padronizado.,True,1
instituicoes,Vital Strategies,vital strategies,Vital Strategies,Instituição,alta,manter original,Nome já padronizado.,True,1
instituicoes,Wildlife Conservation Society Brasil,wildlife conservation society brasil,Wildlife Conservation Society Brasil,Instituição,alta,manter original,Nome já padronizado.,True,1
instituicoes,WWF - Brasil,wwf - brasil,WWF-Brasil,Instituição,alta,aplicar automático,Padronização do uso do hífen.,True,1
instituicoes,SENAI-CETIQT,senai-cetiqt,SENAI CETIQT,Instituição,alta,aplicar automático,Padronização do nome da unidade SENAI.,True,1
instituicoes,SENAI SP,senai sp,SENAI SP,Instituição,alta,manter original,Nome já padronizado.,True,1
instituicoes,Organização das Nações Unidas para a Alimentação e a Agricultura (FAO),organizacao das nacoes unidas para a alimentacao e a agricultura (fao),Organização das Nações Unidas para a Alimentação e a Agricultura,Instituição,alta,aplicar automático,"Padronização do nome completo da instituição, removendo sigla redundante.",True,1
instituicoes,Comissão Econômica para a América Latina e o Caribe (Cepal),comissao economica para a america latina e o caribe (cepal),Comissão Econômica para a América Latina e o Caribe,Instituição,alta,aplicar automático,"Padronização do nome completo da instituição, removendo sigla redundante.",True,1
instituicoes,Centro de Excelência no Combate à Fome no Brasil,centro de excelencia no combate a fome no brasil,Centro de Excelência no Combate à Fome no Brasil,Organização Internacional,alta,manter original,Nome oficial completo e claro.,True,2
instituicoes,Escritório das Nações Unidas para a Redução do Risco de Desastres (UNISDR),escritorio das nacoes unidas para a reducao do risco de desastres (unisdr),Escritório das Nações Unidas para a Redução do Risco de Desastres (UNDRR),Organização Internacional,alta,aplicar automático,Atualização da sigla oficial da instituição (UNISDR foi substituído por UNDRR).,True,2
instituicoes,Programa das Nações Unidas para o Meio Ambiente (PNUMA),programa das nacoes unidas para o meio ambiente (pnuma),Programa das Nações Unidas para o Meio Ambiente (PNUMA),Organização Internacional,alta,manter original,Nome oficial completo e claro.,True,2
instituicoes,Programa das Nações Unidas para os Assentamentos Humanos (ONU-Habitat),programa das nacoes unidas para os assentamentos humanos (onu-habitat),Programa das Nações Unidas para os Assentamentos Humanos (ONU-Habitat),Organização Internacional,alta,manter original,Nome oficial completo e claro.,True,2
instituicoes,Fundo das Nações Unidas para a Infância (Unicef),fundo das nacoes unidas para a infancia (unicef),Fundo das Nações Unidas para a Infância (UNICEF),Organização Internacional,alta,aplicar automático,Padronização da sigla para maiúsculas.,True,2
instituicoes,Programa Conjunto das Nações Unidas sobre HIV/AIDS (UNAIDS),programa conjunto das nacoes unidas sobre hiv/aids (unaids),Programa Conjunto das Nações Unidas sobre HIV/AIDS (UNAIDS),Organização Internacional,alta,manter original,Nome oficial completo e claro.,True,2
instituicoes,Organização das Nações Unidas para o Desenvolvimento Industrial (Unido),organizacao das nacoes unidas para o desenvolvimento industrial (unido),Organização das Nações Unidas para o Desenvolvimento Industrial (UNIDO),Organização Internacional,alta,aplicar automático,Padronização da sigla para maiúsculas.,True,2
instituicoes,Fundo de População das Nações Unidas (UNFPA),fundo de populacao das nacoes unidas (unfpa),Fundo de População das Nações Unidas (UNFPA),Organização Internacional,alta,manter original,Nome oficial completo e claro.,True,2
instituicoes,Organização Pan-Americana da Saúde / Organização Mundial da Saúde (Opas/OMS),organizacao pan-americana da saude / organizacao mundial da saude (opas/oms),Organização Pan-Americana da Saúde / Organização Mundial da Saúde (OPAS/OMS),Organização Internacional,alta,aplicar automático,Padronização da sigla para maiúsculas.,True,2
instituicoes,Centro Internacional de Políticas para o Crescimento Inclusivo (IPC-IG),centro internacional de politicas para o crescimento inclusivo (ipc-ig),Centro Internacional de Políticas para o Crescimento Inclusivo (IPC-IG),Organização Internacional,alta,manter original,Nome oficial completo e claro.,True,2
instituicoes,"Organização das Nações Unidas para a Educação, a Ciência e a Cultura (Unesco)","organizacao das nacoes unidas para a educacao, a ciencia e a cultura (unesco)","Organização das Nações Unidas para a Educação, a Ciência e a Cultura (UNESCO)",Organização Internacional,alta,aplicar automático,Padronização da sigla para maiúsculas.,True,2
instituicoes,Voluntários da ONU,voluntarios da onu,Voluntários da ONU,Organização Internacional,alta,manter original,Nome oficial completo e claro.,True,2
instituicoes,ONU Mulheres,onu mulheres,ONU Mulheres,Organização Internacional,alta,manter original,Nome oficial completo e claro.,True,2
instituicoes,Escritório das Nações Unidas sobre Drogas e Crime (UNODC),escritorio das nacoes unidas sobre drogas e crime (unodc),Escritório das Nações Unidas sobre Drogas e Crime (UNODC),Organização Internacional,alta,manter original,Nome oficial completo e claro.,True,2
instituicoes,Organização Internacional do Trabalho (OIT),organizacao internacional do trabalho (oit),Organização Internacional do Trabalho (OIT),Organização Internacional,alta,manter original,Nome oficial completo e claro.,True,2
instituicoes,Escritório das Nações Unidas de Serviços para Projetos (Unops),escritorio das nacoes unidas de servicos para projetos (unops),Escritório das Nações Unidas de Serviços para Projetos (UNOPS),Organização Internacional,alta,aplicar automático,Padronização da sigla para maiúsculas.,True,2
instituicoes,Associação Comercial do Acre,associacao comercial do acre,Associação Comercial do Acre,Associação,alta,manter original,Nome oficial completo e claro.,True,2
instituicoes,Associação de Mulheres Negras do Acre,associacao de mulheres negras do acre,Associação de Mulheres Negras do Acre,Associação,alta,manter original,Nome oficial completo e claro.,True,2
instituicoes,Associação de Pais e Amigos dos Excepcionais,associacao de pais e amigos dos excepcionais,Associação de Pais e Amigos dos Excepcionais,Associação,alta,manter original,Nome oficial completo e claro.,True,2
instituicoes,Associação dos Municípios do Acre,associacao dos municipios do acre,Associação dos Municípios do Acre,Associação,alta,manter original,Nome oficial completo e claro.,True,2
instituicoes,Associação dos Professores Indígenas do Acre,associacao dos professores indigenas do acre,Associação dos Professores Indígenas do Acre,Associação,alta,manter original,Nome oficial completo e claro.,True,2
instituicoes,Banco da Amazônia,banco da amazonia,Banco da Amazônia,Banco Público,alta,manter original,Nome oficial completo e claro.,True,2
instituicoes,Banco do Brasil,banco do brasil,Banco do Brasil,Banco Público,alta,manter original,Nome oficial completo e claro.,True,2
instituicoes,Caixa Econômica Federal,caixa economica federal,Caixa Econômica Federal,Banco Público,alta,manter original,Nome oficial completo e claro.,True,2
instituicoes,Companhia de Armazéns Gerais e Entrepostos do Acre,companhia de armazens gerais e entrepostos do acre,Companhia de Armazéns Gerais e Entrepostos do Acre,Empresa Pública Estadual,alta,manter original,Nome oficial completo e claro.,True,2
instituicoes,Conselho Estadual da Pessoa Com Deficiência,conselho estadual da pessoa com deficiencia,Conselho Estadual da Pessoa com Deficiência,Conselho Estadual,alta,aplicar automático,Correção de preposição e padronização de caixa.,True,2
instituicoes,Conselho Nacional das Populações Extrativistas,conselho nacional das populacoes extrativistas,Conselho Nacional das Populações Extrativistas,Conselho Nacional,alta,manter original,Nome oficial completo e claro.,True,2
instituicoes,Conselho Estadual de Assistência Social,conselho estadual de assistencia social,Conselho Estadual de Assistência Social,Conselho Estadual,alta,manter original,Nome oficial completo e claro.,True,2
instituicoes,Conselho Estadual de Cultura do Acre,conselho estadual de cultura do acre,Conselho Estadual de Cultura do Acre,Conselho Estadual,alta,manter original,Nome oficial completo e claro.,True,2
instituicoes,Conselho Regional de Engenharia e Arquitetura,conselho regional de engenharia e arquitetura,Conselho Regional de Engenharia e Arquitetura,Conselho Profissional,baixa,revisar manualmente,"Nome da instituição ambíguo, pode se referir a CREA (Engenharia e Agronomia) ou CAU (Arquitetura e Urbanismo), que são conselhos distintos. Requer revisão manual para identificar a instituição correta.",False,2
instituicoes,Conselho Estadual de Turismo,conselho estadual de turismo,Conselho Estadual de Turismo,Conselho Estadual,alta,manter original,Nome oficial completo e claro.,True,2
instituicoes,Conselho Estadual do Direito da Criança e Adolescente,conselho estadual do direito da crianca e adolescente,Conselho Estadual do Direito da Criança e do Adolescente,Conselho Estadual,alta,aplicar automático,Correção gramatical para clareza.,True,2
instituicoes,Conselho Estadual do Direito Do Idoso,conselho estadual do direito do idoso,Conselho Estadual do Direito do Idoso,Conselho Estadual,alta,aplicar automático,Padronização de caixa.,True,2
instituicoes,Controladoria Geral do Estado,controladoria geral do estado,Controladoria Geral do Estado,Órgão Governamental Estadual,alta,manter original,Nome oficial completo e claro.,True,2
instituicoes,Cooperativa Central de Comercialização Extrativista do Acre,cooperativa central de comercializacao extrativista do acre,Cooperativa Central de Comercialização Extrativista do Acre,Cooperativa,alta,manter original,Nome oficial completo e claro.,True,2
instituicoes,Cooperativa dos Produtores Florestais Comunitários,cooperativa dos produtores florestais comunitarios,Cooperativa dos Produtores Florestais Comunitários,Cooperativa,alta,manter original,Nome oficial completo e claro.,True,2
instituicoes,Corpo de Bombeiros Militar do Acre,corpo de bombeiros militar do acre,Corpo de Bombeiros Militar do Acre,Força Militar Estadual,alta,manter original,Nome oficial completo e claro.,True,2
instituicoes,Defensoria Pública Estadual,defensoria publica estadual,Defensoria Pública Estadual,Órgão Governamental Estadual,alta,manter original,Nome oficial completo e claro.,True,2
instituicoes,"Departamento de Estradas de Rodagem, Infraestrutura Hidroviária e Aeroportuária do Acre","departamento de estradas de rodagem, infraestrutura hidroviaria e aeroportuaria do acre","Departamento de Estradas de Rodagem, Infraestrutura Hidroviária e Aeroportuária do Acre",Órgão Governamental Estadual,alta,manter original,Nome oficial completo e claro.,True,2
instituicoes,Departamento de Trânsito,departamento de transito,Departamento de Trânsito (DETRAN),Órgão Governamental Estadual,alta,aplicar automático,Adição da sigla oficial comum (DETRAN).,True,2
instituicoes,Empresa de Assistência Técnica e Extensão Rural do Estado do Acre,empresa de assistencia tecnica e extensao rural do estado do acre,Empresa de Assistência Técnica e Extensão Rural do Estado do Acre (EMATER-AC),Empresa Pública Estadual,alta,aplicar automático,Adição da sigla oficial comum (EMATER-AC).,True,2
instituicoes,Exército Brasileiro,exercito brasileiro,Exército Brasileiro,Força Militar Federal,alta,manter original,Nome oficial completo e claro.,True,2
instituicoes,Federação das Industrias do Estado do Acre,federacao das industrias do estado do acre,Federação das Indústrias do Estado do Acre,Federação,alta,aplicar automático,Correção ortográfica ('Industrias' para 'Indústrias').,True,2
instituicoes,"Federação do Comércio de Bens, Serviços e Turismo do Estado do Acre","federacao do comercio de bens, servicos e turismo do estado do acre","Federação do Comércio de Bens, Serviços e Turismo do Estado do Acre",Federação,alta,manter original,Nome oficial completo e claro.,True,2
instituicoes,Federação da Agricultura e Pecuária do Estado do Acre,federacao da agricultura e pecuaria do estado do acre,Federação da Agricultura e Pecuária do Estado do Acre,Federação,alta,manter original,Nome oficial completo e claro.,True,2
instituicoes,Fórum Empresarial,forum empresarial,Fórum Empresarial,Fórum,baixa,revisar manualmente,"Termo genérico, pode não se referir a uma instituição específica. Requer contexto para identificação.",False,2
instituicoes,Fundação de Amparo à Pesquisa do Estado do Acre,fundacao de amparo a pesquisa do estado do acre,Fundação de Amparo à Pesquisa do Estado do Acre (FAPAC),Fundação Pública Estadual,alta,aplicar automático,Adição da sigla oficial comum (FAPAC).,True,2
instituicoes,Fundação Nacional do Índio,fundacao nacional do indio,Fundação Nacional do Índio (FUNAI),Fundação Pública Federal,alta,aplicar automático,Adição da sigla oficial comum (FUNAI).,True,2
instituicoes,Instituto Brasileiro de Meio Ambiente Recursos Naturais Renováveis,instituto brasileiro de meio ambiente recursos naturais renovaveis,Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis (IBAMA),Autarquia Federal,alta,aplicar automático,Correção gramatical e adição da sigla oficial (IBAMA).,True,2
instituicoes,Instituto de Administração Penitenciária,instituto de administracao penitenciaria,Instituto de Administração Penitenciária (IAPEN),Autarquia Estadual,alta,aplicar automático,Adição da sigla oficial comum (IAPEN).,True,2
instituicoes,Instituto de Mudanças Climáticas e Regulação de Serviços Ambientais,instituto de mudancas climaticas e regulacao de servicos ambientais,Instituto de Mudanças Climáticas e Regulação de Serviços Ambientais (IMC),Autarquia Estadual,alta,aplicar automático,Adição da sigla oficial comum (IMC).,True,2
instituicoes,Instituto de Previdência do Estado do Acre,instituto de previdencia do estado do acre,Instituto de Previdência do Estado do Acre (ACREPREVIDÊNCIA),Autarquia Estadual,alta,aplicar automático,Adição da sigla oficial comum (ACREPREVIDÊNCIA).,True,2
instituicoes,Instituto de Terras do Acre,instituto de terras do acre,Instituto de Terras do Acre (ITERACRE),Autarquia Estadual,alta,aplicar automático,Adição da sigla oficial comum (ITERACRE).,True,2
instituicoes,Ministério Público do Estado do Acre,ministerio publico do estado do acre,Ministério Público do Estado do Acre,Órgão Governamental Estadual,alta,manter original,Nome oficial completo e claro.,True,2
instituicoes,Procuradoria Geral do Estado,procuradoria geral do estado,Procuradoria Geral do Estado,Órgão Governamental Estadual,alta,manter original,Nome oficial completo e claro.,True,2
instituicoes,Secretaria de Patrimônio da União,secretaria de patrimonio da uniao,Secretaria de Patrimônio da União (SPU),Órgão Governamental Federal,alta,aplicar automático,Adição da sigla oficial comum (SPU).,True,2
instituicoes,Serviço de Água e Esgoto de Rio Branco,servico de agua e esgoto de rio branco,Serviço de Água e Esgoto de Rio Branco (SAERB),Empresa Pública Municipal,alta,aplicar automático,Adição da sigla oficial comum (SAERB).,True,2
instituicoes,Serviço Social do Transporte e o Serviço Nacional de Aprendizagem do Transporte,servico social do transporte e o servico nacional de aprendizagem do transporte,Serviço Social do Transporte e Serviço Nacional de Aprendizagem do Transporte (SEST SENAT),Serviço Social Autônomo,alta,aplicar automático,Correção gramatical e adição da sigla oficial (SEST SENAT).,True,2
instituicoes,Sindicato de Técnicos e Gestores,sindicato de tecnicos e gestores,Sindicato de Técnicos e Gestores,Sindicato,baixa,revisar manualmente,"Nome genérico de sindicato, pode não se referir a uma instituição específica. Requer contexto para identificação.",False,2
